role,can_access_dashboard,can_access_projects,can_create_projects,can_edit_projects,can_delete_projects,can_access_resources,can_access_schedules,can_access_team,can_access_reports,can_access_admin,can_approve_phases,can_resolve_conflicts,id,created_date,updated_date,created_by_id,is_sample
"web_leader","true","true","true","true","true","true","true","true","true","true","true","true","6970101a148a7c3bf050a394","2026-01-20T23:30:34.251000","2026-01-20T23:30:34.251000","6940670cff749d8ea0c5d536","false"
"leader_product","true","true","true","true","false","true","true","false","false","false","true","true","697010185f9a3157e21b02cd","2026-01-20T23:30:32.137000","2026-01-20T23:30:32.137000","6940670cff749d8ea0c5d536","false"
"product_owner","true","true","true","true","true","false","true","false","false","false","false","true","6970101669145da3254de129","2026-01-20T23:30:30.326000","2026-01-20T23:30:30.326000","6940670cff749d8ea0c5d536","false"
"leader_seo","true","true","false","true","false","true","true","true","true","false","true","true","69701011611e184392671dbb","2026-01-20T23:30:25.039000","2026-01-20T23:30:25.039000","6940670cff749d8ea0c5d536","false"
"ceo_antpack","true","true","true","true","true","true","true","true","true","true","true","true","69531bab5a290e5937e9f16a","2025-12-30T00:24:11.828000","2026-01-20T23:30:37.945000","6940670cff749d8ea0c5d536","false"
